iter	Passed	Remaining
0	1	126
1	2	112
2	3	107
3	4	101
4	5	100
5	6	98
6	7	98
7	8	97
8	9	96
9	10	95
10	11	94
11	12	92
12	13	91
13	14	90
14	15	89
15	16	87
16	17	86
17	18	85
18	19	84
19	20	83
20	21	82
21	22	80
22	23	79
23	25	79
24	26	78
25	26	76
26	27	75
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	44	57
44	45	56
45	46	55
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	54	47
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	75	25
75	76	24
76	77	23
77	78	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
